"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Dendronotus frondosus",139523,1055,63,63,10.7893376833489,10.3046423981507,3.60199999809265,1.76249301433563,28.2159996032715,19.4017181396484,10.951000213623,10.5123538970947,1.90380013971117,2.13743300020014,1.28319026041031,1.13986073226929,5.33099985122681,4.38606119155884,12.7344499588013,12.3319393634796
"Desmarestia aculeata",145307,4505,121,121,10.6940958241921,10.4379886413999,-0.0209999997168779,-0.296970993280411,15.3409996032715,14.692195892334,10.6180000305176,10.3172416687012,1.36051226015421,1.34034598432365,0.917730044746399,0.779325898361206,8.95804977416992,8.97192096710205,12.878999710083,12.3020181655884
"Desmarestia viridis",145310,2618,72,72,10.4446940214168,10.2745653957433,4.13399982452393,1.11763000488281,19.8619995117188,21.454381942749,10.3039999008179,10.265908241272,1.9136442400999,1.98241492941473,1.05116285705566,0.827496655082703,6.22975015640259,6.66304349899292,12.768500328064,12.885950088501
"Diadumene lineata",395099,667,64,64,15.7579254669139,15.4621645518599,8.03400039672852,2.06653189659119,32.3160018920898,29.8358821868896,12.6459999084473,12.5248069763184,5.52253815228783,5.43145029526436,3.36550267868042,2.72187186069489,10.1590003967285,9.99111652374268,25.1280002593994,23.6544799804688
"Didemnum vexillum",250126,286,21,21,11.1644337780071,11.464397790297,8.14400005340576,6.90081882476807,17.2749996185303,17.624095916748,10.7309999465942,11.4431800842285,1.43446099955901,1.25001342198109,0.910316875076294,0.715848070335388,9.37239971160889,9.07727527618408,14.1269998550415,12.6944465637207
"Diplosoma listerianum",103579,2772,411,411,13.172286282854,12.8749855907728,2.32200002670288,0.798877000808716,29.3239994049072,28.530294418335,11.8339996337891,11.2577905654907,4.77526242543795,4.65373252940417,1.55524708328247,1.3884486448288,9.13899993896484,9.71794605255127,24.992000579834,23.9905338287354
"Edwardsiella lineata",283549,52,0,0,13.9745385486346,14.067430714002,-1.47200000286102,1.01706397533417,29.5090007781982,28.6367301940918,11.78600025177,12.3462963104248,5.67534428131855,5.22149709295353,1.42996833343506,2.05480818729401,10.3269996643066,10.9603471755981,29.5090007781982,28.6367301940918
"Electra pilosa",111355,19117,1143,1143,11.3612323721378,11.0268757965868,2.70600008964539,1.39622402191162,28.67799949646,24.0170707702637,11.3330001831055,11.0205430984497,1.18271325143415,1.13431484990727,1.42477925605774,1.30972454395294,9.63099956512451,9.56413555145264,12.7340002059937,12.3737802505493
"Eubranchus exiguus",139765,141,15,15,11.04596817115,10.7407053122445,3.95700001716614,3.25549793243408,12.8610000610352,12.8203353881836,11.3889999389648,11.082968711853,1.20715667001548,1.1363457198851,0.813947083282471,0.564672713756561,9.06750011444092,9.10766172409058,12.2189998626709,12.2432889938354
"Facelina bostoniensis",139908,662,101,101,10.9104260191348,10.9179354708462,7.15999984741211,6.57934713363647,21.2709999084473,22.7652397155762,10.7379999160767,10.7717819213867,1.45926822123113,1.54939592745952,0.882147395896912,0.6678922290802,9.21300029754639,9.31070613861084,12.6120004653931,12.5185708999634
"Hemigellius arcofer",166752,30,0,0,7.44756666471561,3.56907850305239,-0.624000012874603,-1.05465698242188,18.9440002441406,10.8970251083374,6.32349991798401,2.90256249904633,4.28356895250163,3.17476493881901,1.53523237352371,1.35026094127893,0.969900017231703,-1.02004008293152,17.0112502098083,10.0000213623047
"Gersemia rubiformis",156103,2574,5,5,5.09700623582363,2.81821730858627,-0.372999995946884,-1.57054901123047,17.2600002288818,20.208927154541,4.92600011825562,2.57920908927917,2.35564167473223,2.16972409472518,2.32026908483505,1.76222287237644,1.77520000934601,-0.0271005999296903,9.96860008239746,6.96234083175659
"Halichondria (Halichondria) panicea",165853,13540,2139,2139,10.8670184936882,10.5656363323309,-1.5349999666214,-1.67062497138977,29.5669994354248,28.4190521240234,10.9940004348755,10.8512344360352,2.20871714896644,2.3450382964823,1.44405236606598,1.34161969585419,5.86899995803833,4.82595491409302,12.7779998779297,12.7183532714844
"Haliclona (Haliclona) oculata",132833,3233,636,637,11.7377862725572,11.3714802617434,0.628000020980835,-0.146870002150536,29.0470008850098,23.7928981781006,11.9200000762939,11.5823030471802,1.63454363179487,1.70525395706567,0.868802842140198,1.04027851982117,9.60200004577637,8.97919321060181,12.8290004730225,12.6678218841553
"Halocynthia pyriformis",103828,488,2,2,6.58256584080128,3.60878673792192,-0.460999995470047,-0.966576993465424,23.1849994659424,23.3377895355225,6.50899982452393,2.77047646045685,1.60655973750346,2.41916122821402,0.793190773773193,1.30453458287716,4.9229998588562,1.66393998265266,8.10849976539612,8.42159843444824
"Hemigrapsus sanguineus",158417,657,93,93,14.5737056537723,14.5066451341234,7.83599996566772,-0.126074001193047,22.1459999084473,22.6625499725342,12.2230000495911,12.4212760925293,4.64112221452232,4.99949020364469,2.81101017122269,2.17289363164902,10.1169996261597,9.47015357017517,22.1240005493164,22.6625499725342
"Henricia sanguinolenta",123974,3272,29,30,10.0618183736058,9.41866534477689,-0.456999987363815,-1.26367402076721,26.9720001220703,24.2325553894043,10.1789999008179,9.91443634033203,2.21314482411836,2.81482790093992,1.7850511013031,1.74307895908356,6.95230011940003,4.25842616558075,12.8889002799988,13.1140298843384
"Hiatella arctica",140103,9910,303,316,11.3049072336606,10.6086768651119,-1.11600005626678,-1.57402396202087,28.2409992218018,27.922342300415,10.9729995727539,10.5269336700439,3.8461589871801,3.75756789340783,1.37881845245361,1.1541116071701,5.69519996643066,4.18189811706543,18.9659996032715,16.6150444984436
